language,id,translation_tag,spoken_tag
Gur,1,,
Ketï¿½ua,2,,
Luri,3,,
Bullom-sherbro,4,,
Afar,5,aa,
Fang,6,,
Lezgian,7,,
Arabic-French-English,8,,
Kikuyu,9,,
Sardinian,10,sc,
Bengali,11,bn,
Bali,12,,
Banda,13,,
Tamashek,14,,
Gurma,15,,
Shan,16,,
Tibetan,17,bo,
Kabyï¿½,18,,
Turkmenian,19,,
Kono-vai,20,,
Galecian,21,,
Irish,22,ga,
Berberi,23,,
Iban,24,,
Polynesian Languages,25,,
Luba,26,,
Saho,27,,
Kannada,28,kn,
Gagauzi,29,,
Comorian-French,30,,
Akan,31,ak,
Mantï¿½u,32,,
Czech,33,cs,
Karakalpak,34,,
Nung,35,,
Haiti Creole,36,,
Ainu,37,,
Ibo,38,,
Kissi,39,,
Malay,40,ms,
Persian,41,fa,
Shona,42,sn,
Kavango,43,,
Chinese,44,zh,
Guaymï¿½,45,,
Zapotec,47,,
Yap,48,,
Mahorï¿½,49,,
Kiga,50,,
Pilipino,51,,
Wolof,52,wo,
Chuvash,53,cv,
Sotho,54,,
Miao,55,,
Gilaki,56,,
Ngbaka,57,,
Hakka,58,,
Tswana,59,tn,
Soga,60,,
Tharu,61,,
Luimbe-nganguela,62,,
Samoan-English,63,,
Ukrainian and Russian,65,,
Buryat,66,,
Nyaneka-nkhumbi,67,,
Mbundu,68,,
Tongan,69,,
Tadzhik,70,,
Joruba,71,,
Seselwa,72,,
Mari,73,,
Chibcha,74,,
Urdu,75,ur,
Bugi,76,,
Hehet,77,,
Dari,78,,
Indian Languages,79,,
Rapa nui,80,,
Kachin,81,,
Miskito,82,,
Chamorro,83,ch,
Ful,84,,
Moba,85,,
Songhai,86,,
Dinka,87,,
Maltese,88,mt,
Garo,89,,
Circassian,90,,
Mossi,91,,
Creole English,92,,
Moravian,93,,
Saame,94,,
Malinke,95,,
Gusii,96,,
Hungarian,97,hu,
Kirundi,98,,
Mboshi,99,,
Catalan,100,,
Nyakusa,101,,
Somali,103,so,
Nyika,104,,
Fukien,105,,
Ovambo,106,,
Man,107,,
Luguru,108,,
Hiligaynon,109,,
Balante,110,,
Gaeli,111,,
Vietnamese,112,vi,
Belorussian,113,,
Oromo,114,om,
Ngoni,115,,
Rundi,116,rn,
Saraiki,117,,
Sinaberberi,118,,
Mandjia,119,,
Romanian,120,,
Bicol,121,,
